Package,LibPath,Version,Priority,Built
RcppEigen,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3.7.0,NA,3.6.0
RcppParallel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.0.2,NA,3.6.2
RCurl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.98-1.2,NA,3.6.2
readODS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.0,NA,3.6.2
readr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
readxl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
recipes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.15,NA,3.6.2
rematch,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
rematch2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.2,NA,3.6.2
remotes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.0,NA,3.6.2
renv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.11.0,NA,3.6.2
reprex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
reshape,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.8,NA,3.6.0
reshape2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.4,NA,3.6.2
reticulate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.16,NA,3.6.2
revealjs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9,NA,3.6.0
rex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.2
rgl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.100.54,NA,3.6.2
rio,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.16,NA,3.6.0
rjson,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.20,NA,3.6.0
rlang,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.9,NA,3.6.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.5,NA,3.6.3
rmatio,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14.0,NA,3.6.0
Rmixmod,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.5,NA,3.6.3
robustbase,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.93-6,NA,3.6.0
RobustGaSP,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6.0,NA,3.6.2
rootSolve,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8.2.1,NA,3.6.2
roxygen2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.1.1,NA,3.6.2
rpart,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.1-15,recommended,3.6.3
rprojroot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-2,NA,3.6.0
rsconnect,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8.16,NA,3.6.3
Rsolnp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.16,NA,3.6.0
rstan,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.21.2,NA,3.6.2
rstantools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.1,NA,3.6.2
rstudioapi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.11,NA,3.6.0
rticles,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.15,NA,3.6.2
RUnit,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.32,NA,3.6.0
rversions,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.2,NA,3.6.2
rvest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.6,NA,3.6.2
sandwich,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0-0,NA,3.6.2
sass,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
scales,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1,NA,3.6.2
scatterplot3d,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3-41,NA,3.6.0
selectr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-2,NA,3.6.0
servr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.18,NA,3.6.2
sessioninfo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1,NA,3.6.0
sgmcmc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.5,NA,3.6.0
shape,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.4,NA,3.6.0
shiny,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.0,NA,3.6.2
shinydashboard,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7.1,NA,3.6.0
shinyjs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
shinystan,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.5.0,NA,3.6.0
shinythemes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.2,NA,3.6.0
slidify,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5,NA,3.6.3
slidifyLibraries,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.3
snakecase,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.11.0,NA,3.6.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.7,NA,3.6.0
sp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-2,NA,3.6.2
spam,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.5-1,NA,3.6.0
sparklyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.2
SparseM,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.78,NA,3.6.0
spatial,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-12,recommended,3.6.2
spectralGP,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.3,NA,3.6.0
splines,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
SQUAREM,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2020.5,NA,3.6.2
StanHeaders,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.21.0-6,NA,3.6.2
statmod,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.34,NA,3.6.0
stats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
stats4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
stringi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.3,NA,3.6.2
stringr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.0
styler,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.2,NA,3.6.0
survival,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.2-3,recommended,3.6.2
sys,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.4,NA,3.6.2
tcltk,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
tensorflow,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.0,NA,3.6.2
testthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.2,NA,3.6.0
tfruns,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4,NA,3.6.0
TH.data,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-10,NA,3.6.0
threejs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3,NA,3.6.0
tibble,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0.3,NA,3.6.2
tidyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.2,NA,3.6.3
tidyselect,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.0,NA,3.6.0
tikzDevice,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12.3.1,NA,3.6.2
timeDate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3043.102,NA,3.6.0
tinytex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.25,NA,3.6.2
tkrplot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0-24,NA,3.6.0
tools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
truncdist,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-2,NA,3.6.0
truncnorm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-8,NA,3.6.0
tufte,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6,NA,3.6.2
tweenr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
usdata,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.2
usethis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6.1,NA,3.6.2
utf8,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.4,NA,3.6.0
utils,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
uuid,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-4,NA,3.6.0
V8,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.2.0,NA,3.6.2
vctrs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3,NA,3.6.3
VennDiagram,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6.20,NA,3.6.0
Vennerable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1.0.9000,NA,3.6.3
viridis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.1,NA,3.6.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
vroom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.2,NA,3.6.2
waveslim,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8.2,NA,3.6.0
webshot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.2,NA,3.6.0
whisker,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4,NA,3.6.0
withr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.0,NA,3.6.2
xaringan,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.16,NA,3.6.2
xaringanExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.4,NA,3.6.3
xfun,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.19,NA,3.6.2
xml2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.2,NA,3.6.2
xopen,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
xtable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8-4,NA,3.6.0
xts,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12-0,NA,3.6.0
yaml,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.1,NA,3.6.0
zeallot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.0
zip,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.1,NA,3.6.3
zoo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8-8,NA,3.6.2
